x_from,y_from,x_to,y_to
-73.8702,40.6306,-73.8697,40.6307
-73.7874,40.6292,-73.7869,40.6292
-73.8784,40.6291,-73.8784,40.6291
-73.8784,40.6291,-73.8771,40.6299
-73.7581,40.6285,-73.7579,40.6287
-73.7582,40.6284,-73.7581,40.6285
-73.8812,40.6301,-73.8809,40.6304
-73.7867,40.6292,-73.7864,40.6292
-73.7585,40.6282,-73.7582,40.6284
-73.8815,40.6292,-73.8812,40.6301
-73.882,40.6295,-73.8815,40.6292
-73.8814,40.6292,-73.8815,40.6292
-73.8822,40.6295,-73.882,40.6295
-73.7513,40.6296,-73.7514,40.6301
-73.8813,40.629,-73.8814,40.6292
-73.7589,40.628,-73.7585,40.6282
-73.811,40.6291,-73.8101,40.6312
-73.7859,40.6292,-73.7854,40.6295
-73.7499,40.6298,-73.75,40.6299
-73.7596,40.6276,-73.7589,40.628
-73.881,40.6286,-73.8813,40.629
-73.7854,40.6295,-73.7853,40.6294
-73.8111,40.629,-73.811,40.6291
-73.7598,40.6274,-73.7596,40.6276
-73.7607,40.6272,-73.7605,40.6272
-73.7602,40.6272,-73.7598,40.6274
-73.7605,40.6272,-73.7602,40.6272
-73.7607,40.6271,-73.7607,40.6272
-73.8799,40.6281,-73.8784,40.6291
-73.8804,40.6277,-73.881,40.6286
-73.8804,40.6277,-73.8799,40.6281
-73.7499,40.6298,-73.7497,40.6297
-73.8804,40.6276,-73.8804,40.6277
-73.8804,40.6275,-73.8804,40.6276
-73.7511,40.6292,-73.7513,40.6296
-73.7617,40.6266,-73.7607,40.6271
-73.7622,40.6266,-73.7617,40.6266
-73.7623,40.6266,-73.7622,40.6266
-73.7629,40.6266,-73.7623,40.6266
-73.8807,40.6264,-73.8804,40.6275
-73.7639,40.6263,-73.7629,40.6266
-73.8109,40.6281,-73.8111,40.629
-73.764,40.6263,-73.7639,40.6263
-73.7538,40.6282,-73.7538,40.6282
-73.7641,40.6264,-73.764,40.6263
-73.8108,40.6279,-73.8109,40.6281
-73.8813,40.6264,-73.8807,40.6264
-73.764,40.6262,-73.764,40.6263
